Model,Config,Split,MAE,RMSE,MAPE,R_squared,Epochs_Trained
LSTM,"{""batch_size"": 64, ""dropout"": 0.2, ""epochs"": 60, ""hidden_size"": 32, ""lr"": 0.0005, ""num_layers"": 1, ""patience"": 6, ""seq_len"": 72, ""weight_decay"": 1e-05}",Validation_2024,2579.5684902074595,3712.13405884407,4.859387023521852,0.878125490725981,46.0
LSTM,"{""batch_size"": 64, ""dropout"": 0.2, ""epochs"": 60, ""hidden_size"": 32, ""lr"": 0.0005, ""num_layers"": 1, ""patience"": 6, ""seq_len"": 168, ""weight_decay"": 1e-05}",Validation_2024,2542.5166705812826,3759.193200020354,4.766802864713017,0.8759871510135614,44.0
LSTM,"{""batch_size"": 64, ""dropout"": 0.2, ""epochs"": 60, ""hidden_size"": 32, ""lr"": 0.0005, ""num_layers"": 1, ""patience"": 6, ""seq_len"": 24, ""weight_decay"": 1e-05}",Validation_2024,2572.484579318331,3739.3187805372545,4.8551365837503075,0.8758010323680385,37.0
LSTM,"{""batch_size"": 64, ""dropout"": 0.3, ""epochs"": 60, ""hidden_size"": 64, ""lr"": 0.0005, ""num_layers"": 2, ""patience"": 6, ""seq_len"": 72, ""weight_decay"": 1e-05}",Validation_2024,2843.789934092271,4056.203879931978,5.220833897880728,0.8544858828664155,29.0
LightGBM,"{""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 31}",Validation_2024,2355.626512473165,3388.1304117691684,4.3867006259537815,0.8977821615331685,
LightGBM,"{""learning_rate"": 0.03, ""n_estimators"": 1000, ""num_leaves"": 31}",Validation_2024,2355.626512473165,3388.1304117691684,4.3867006259537815,0.8977821615331685,
LightGBM,"{""learning_rate"": 0.05, ""n_estimators"": 500, ""num_leaves"": 31}",Validation_2024,2344.1134524134336,3390.838420221501,4.362906152589517,0.897618698290822,
LightGBM,"{""learning_rate"": 0.05, ""n_estimators"": 1000, ""num_leaves"": 31}",Validation_2024,2344.1134524134336,3390.838420221501,4.362906152589517,0.897618698290822,
LightGBM,"{""learning_rate"": 0.05, ""n_estimators"": 500, ""num_leaves"": 63}",Validation_2024,2362.851671423293,3423.168449641631,4.389368889874426,0.8956570771955904,
LightGBM,"{""learning_rate"": 0.05, ""n_estimators"": 1000, ""num_leaves"": 63}",Validation_2024,2362.851671423293,3423.168449641631,4.389368889874426,0.8956570771955904,
LightGBM,"{""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 63}",Validation_2024,2372.694086029179,3441.2214321595584,4.406444857991981,0.8945536152502056,
LightGBM,"{""learning_rate"": 0.03, ""n_estimators"": 1000, ""num_leaves"": 63}",Validation_2024,2372.694086029179,3441.2214321595584,4.406444857991981,0.8945536152502056,
RandomForest,"{""max_depth"": 18, ""min_samples_leaf"": 2, ""n_estimators"": 300}",Validation_2024,2499.76175897793,3595.82124936152,4.6282213073060445,0.8848662512716855,
RandomForest,"{""max_depth"": 18, ""min_samples_leaf"": 2, ""n_estimators"": 600}",Validation_2024,2501.409660999375,3597.796698738519,4.630419189537836,0.8847397136317782,
RandomForest,"{""max_depth"": 18, ""min_samples_leaf"": 1, ""n_estimators"": 600}",Validation_2024,2505.9875746906687,3603.1847520351466,4.637936176941156,0.884394227967323,
RandomForest,"{""max_depth"": 18, ""min_samples_leaf"": 1, ""n_estimators"": 300}",Validation_2024,2513.702231328872,3609.917824050238,4.654639779169016,0.8839617720696915,
RandomForest,"{""max_depth"": 12, ""min_samples_leaf"": 2, ""n_estimators"": 600}",Validation_2024,2555.245340889552,3651.539376766279,4.734441296355838,0.8812705563176971,
RandomForest,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""n_estimators"": 300}",Validation_2024,2562.104303900934,3651.972841696342,4.748488077583882,0.8812423665054924,
RandomForest,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""n_estimators"": 600}",Validation_2024,2562.532370599093,3653.11731473387,4.7485007678964335,0.8811679211510137,
RandomForest,"{""max_depth"": 12, ""min_samples_leaf"": 2, ""n_estimators"": 300}",Validation_2024,2563.2067730327276,3660.9343963319043,4.748904304598228,0.8806588140809544,
